【Excel文件】COVID-19全球数据集（节选）.xlsx
工作表数量：1
============================================================

📊 工作表 1: Data
行数: 15088, 列数: 15
----------------------------------------
                        国家/地区             大洲     纬度      经度  年平均温度  每千人医院床位数  每千人医生数    人均GDP          人口  年龄中位数  65岁及以上人口占比         日期      每日检测数         病例数       死亡数
13389                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-02   128868.0    207191.0    5829.0
13390                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-03   137158.0    216824.0    6088.0
13391                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-04   139485.0    226713.0    6363.0
13392                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-05   143661.0    236184.0    6649.0
13393                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-06   137938.0    246622.0    6946.0
13394                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-07   142069.0    257486.0    7207.0
13395                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-08   108048.0    265928.0    7473.0
13396                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-09   141682.0    276146.0    7750.0
13397                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-10   145216.0    286605.0    8102.0
13398                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-11   151808.0    297535.0    8498.0
13399                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-12   150305.0    308993.0    8884.0
13400                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-13   143737.0    320922.0    9195.0
13401                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-14   151432.0    332424.0    9520.0
13402                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-15   115519.0    343091.0    9900.0
13403                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-16   146936.0    354065.0   11903.0
13404                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-17   163187.0    366946.0   12237.0
13405                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-18   165412.0    380532.0   12573.0
13406                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-19   176959.0    395048.0   12948.0
13407                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-20   189869.0    410451.0   13254.0
13408                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-21   190730.0    425282.0   13699.0
13409                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-22   143267.0    440215.0   14011.0
13410                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-23   187223.0    456183.0   14476.0
13411                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-24   215195.0    473105.0   14894.0
13412                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-25   207871.0    490401.0   15301.0
13413                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-26   215446.0    508953.0   15685.0
13414                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-27   220479.0    528859.0   16095.0
13415                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-28   231095.0    548318.0   16475.0
13416                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-29   170560.0    566840.0   16893.0
13417                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-06-30   210292.0    585481.0   17400.0
13418                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-01   217931.0    604641.0   17834.0
13419                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-02   229588.0    625544.0   18213.0
13420                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-03   241576.0    648315.0   18655.0
13421                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-04   242383.0    673165.0   19268.0
13422                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-05   248934.0    697413.0   19693.0
13423                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-06   180596.0    719664.0   20159.0
13424                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-07   241430.0    742417.0   20642.0
13425                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-08   262679.0    767296.0   21129.0
13426                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-09   267061.0    793802.0   21604.0
13427                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-10   283659.0    820916.0   22123.0
13428                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-11   282511.0    849522.0   22673.0
13429                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-12   280151.0    878254.0   23174.0
13430                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-13   219103.0    906752.0   23727.0
13431                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-14   286247.0    936181.0   24309.0
13432                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-15   320161.0    968857.0   24914.0
13433                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-16   326826.0   1003832.0   25602.0
13434                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-17   333228.0   1039084.0   26273.0
13435                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-18   361024.0   1077781.0   26816.0
13436                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-19   358127.0   1118206.0   27497.0
13437                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-20   256039.0   1155338.0   28082.0
13438                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-21   333395.0   1193078.0   28732.0
13439                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-22   343243.0   1238798.0   29861.0
13440                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-23   350823.0   1288108.0   30601.0
13441                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-24   352801.0   1337024.0   31358.0
13442                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-25   420898.0   1385635.0   32060.0
13443                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-26   442263.0   1435616.0   32771.0
13444                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-27   515472.0   1480073.0   33408.0
13445                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-28   528082.0   1531669.0   34193.0
13446                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-29   408855.0   1581963.0   34955.0
13447                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-30   446642.0   1634746.0   35718.0
13448                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-07-31   642588.0   1695988.0   36511.0
13449                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-01   525689.0   1750723.0   37364.0
13450                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-02   463172.0   1803695.0   38135.0
13451                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-03   381027.0   1855745.0   38938.0
13452                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-04   661892.0   1908254.0   39795.0
13453                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-05   619652.0   1964536.0   40699.0
13454                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-06   664949.0   2027074.0   41585.0
13455                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-07   639042.0   2088611.0   42518.0
13456                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-08   598778.0   2153010.0   43379.0
13457                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-09   719364.0   2215074.0   44386.0
13458                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-10   477023.0   2268675.0   45257.0
13459                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-11   698290.0   2329638.0   46091.0
13460                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-12   733449.0   2396637.0   47033.0
13461                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-13   830391.0   2461190.0   48040.0
13462                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-14   848728.0   2525922.0   49036.0
13463                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-15   868679.0   2589952.0   49980.0
13464                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-16   746608.0   2647663.0   50921.0
13465                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-17   731697.0   2702681.0   51797.0
13466                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-18   899864.0   2767253.0   52888.0
13467                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-19   801518.0   2836925.0   53866.0
13468                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-20   918470.0   2905825.0   54849.0
13469                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-21   805985.0   2975701.0   55794.0
13470                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-22  1023836.0   3044940.0   56706.0
13471                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-23   801147.0   3106348.0   57542.0
13472                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-24   609917.0   3167323.0   58390.0
13473                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-25   925383.0   3224547.0   59357.0
13474                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-26   823992.0   3310234.0   60472.0
13475                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-27   924998.0   3387500.0   61529.0
13476                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-28   901338.0   3463972.0   62550.0
13477                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-29   928761.0   3542733.0   63498.0
13478                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-30  1055027.0   3621245.0   64469.0
13479                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-08-31   846278.0   3691166.0   65288.0
13480                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-01  1016920.0   3769523.0   66333.0
13481                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-02  1012367.0   3853406.0   67376.0
13482                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-03  1172179.0   3936747.0   68472.0
13483                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-04  1169765.0   4023179.0   69561.0
13484                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-05  1059346.0   4113811.0   70626.0
13485                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-06  1092654.0   4204613.0   71642.0
13486                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-07   720362.0   4280422.0   72775.0
13487                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-08  1098621.0   4370128.0   73890.0
13488                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-09  1154549.0   4465863.0   75062.0
13489                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-10  1129756.0   4562414.0   76271.0
13490                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-11  1163542.0   4659984.0   77472.0
13491                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-12  1091251.0   4754356.0   78586.0
13492                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-13  1071702.0   4846427.0   79722.0
13493                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-14   978500.0   4930236.0   80776.0
13494                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-15  1072845.0   5020359.0   82066.0
13495                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-16  1116842.0   5118253.0   83198.0
13496                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-17  1136613.0   5214677.0   84372.0
13497                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-18  1006615.0   5308014.0   85619.0
13498                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-19   881911.0   5400619.0   86752.0
13499                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-20  1206806.0   5487580.0   87882.0
13500                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-21   731534.0   5562663.0   88935.0
13501                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-22   933185.0   5646010.0   90020.0
13502                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-23   953683.0   5732518.0   91149.0
13503                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-24  1156569.0   5818570.0   92290.0
13504                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-25  1492409.0   5903932.0   93379.0
13505                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-26  1341535.0   5992532.0   94503.0
13506                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-27   987861.0   6074702.0   95542.0
13507                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-28   709394.0   6145291.0   96318.0
13508                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-29  1142811.0   6225763.0   97497.0
13509                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-09-30  1086688.0   6312584.0   98678.0
13510                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-01  1423052.0   6394068.0   99773.0
13511                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-02  1097947.0   6473544.0  100842.0
13512                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-03  1132675.0   6549373.0  101782.0
13513                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-04  1142131.0   6623815.0  102685.0
13514                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-05   989860.0   6685082.0  103569.0
13515                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-06  1089403.0   6757131.0  104555.0
13516                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-07  1199857.0   6835655.0  105526.0
13517                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-08  1194321.0   6906151.0  106490.0
13518                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-09  1168705.0   6979423.0  107416.0
13519                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-10  1164018.0   7053806.0  108334.0
13520                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-11  1078544.0   7120538.0  109150.0
13521                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-12   994851.0   7175880.0  109856.0
13522                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-13  1073014.0   7239389.0  110586.0
13523                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-14  1145015.0   7307097.0  111266.0
13524                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-15  1136183.0   7370468.0  112161.0
13525                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-16  1028622.0   7432680.0  112998.0
13526                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-17   999090.0   7494551.0  114031.0
13527                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-18   970173.0   7550273.0  114610.0
13528                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-19   859786.0   7597063.0  115197.0
13529                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-20  1032795.0   7651107.0  115914.0
13530                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-21  1083608.0   7706946.0  116616.0
13531                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-22  1469984.0   7761312.0  117306.0
13532                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-23  1442722.0   7814682.0  117956.0
13533                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-24  1269479.0   7864811.0  118534.0
13534                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-25  1140905.0   7909959.0  119014.0
13535                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-26   939309.0   7946429.0  119502.0
13536                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-27   958116.0   7990322.0  120010.0
13537                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-28  1066786.0   8040203.0  120527.0
13538                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-29  1075760.0   8088851.0  121090.0
13539                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-30  1164648.0   8137119.0  121641.0
13540                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-10-31  1067976.0   8184082.0  122111.0
13541                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-01  1091239.0   8229313.0  122607.0
13542                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-02   855800.0   8267623.0  123097.0
13543                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-03  1046247.0   8313876.0  123611.0
13544                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-04  1209609.0   8364086.0  124315.0
13545                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-05  1209425.0   8411724.0  124985.0
13546                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-06  1220711.0   8462080.0  125562.0
13547                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-07  1113209.0   8507754.0  126121.0
13548                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-08  1194487.0   8553657.0  126611.0
13549                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-09   835401.0   8591730.0  127059.0
13550                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-10  1043665.0   8636011.0  127571.0
13551                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-11  1153294.0   8683916.0  128121.0
13552                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-12  1193358.0   8728795.0  128668.0
13553                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-13  1139230.0   8773479.0  129188.0
13554                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-14   929491.0   8814579.0  129635.0
13555                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-15   805589.0   8845127.0  130070.0
13556                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-16   861706.0   8874290.0  130519.0
13557                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-17   844382.0   8912907.0  130993.0
13558                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-18   937279.0   8958483.0  131578.0
13559                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-19  1028203.0   9004365.0  132162.0
13560                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-20  1083397.0   9050597.0  132726.0
13561                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-21  1066022.0   9095806.0  133227.0
13562                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-22  1075326.0   9139865.0  133738.0
13563                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-23   849596.0   9177840.0  134218.0
13564                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-24  1099545.0   9222216.0  134699.0
13565                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-25  1159032.0   9266705.0  135223.0
13566                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-26  1090238.0   9309787.0  135715.0
13567                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-27  1131204.0   9351109.0  136200.0
13568                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-28  1157605.0   9392919.0  136696.0
13569                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-29  1283449.0   9431691.0  137139.0
13570                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-11-30   876173.0   9462809.0  137621.0
13571                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-01   969322.0   9499413.0  138122.0
13572                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-02  1096651.0   9534964.0  138648.0
13573                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-03  1111698.0   9571559.0  139188.0
13574                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-04  1170102.0   9608211.0  139700.0
13575                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-05  1157763.0   9644222.0  140182.0
13576                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-06  1101063.0   9677203.0  140573.0
13577                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-07   801081.0   9703770.0  140958.0
13578                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-08  1026399.0   9735850.0  141360.0
13579                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-09  1022712.0   9767371.0  141772.0
13580                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-10   922959.0   9796744.0  142185.0
13581                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-11        NaN   9826775.0  142628.0
13582                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-12        NaN   9857029.0  143019.0
13583                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-13  1014434.0   9884100.0  143355.0
13584                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-14   855157.0   9906165.0  143709.0
13585                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-15   993665.0   9932547.0  144096.0
13586                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-16  1085625.0   9956557.0  144451.0
13587                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-17  1158960.0   9979447.0  144789.0
13588                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-18  1113406.0  10004599.0  145136.0
13589                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-19  1171868.0  10031223.0  145477.0
13590                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-20  1107681.0  10055560.0  145810.0
13591                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-21   900134.0  10075116.0  146111.0
13592                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-22  1072228.0  10099066.0  146444.0
13593                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-23  1098164.0  10123778.0  146756.0
13594                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-24  1039645.0  10146845.0  147092.0
13595                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-25   997396.0  10169118.0  147343.0
13596                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-26   853527.0  10187850.0  147622.0
13597                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-27   943368.0  10207871.0  147901.0
13598                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-28   715397.0  10224303.0  148153.0
13599                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-29   983695.0  10244852.0  148439.0
13600                   India           Asia  20.59   78.96     25      0.53    0.76   2099.6  1339180127     28           6 2020-12-30  1120281.0  10266674.0  148738.0
